,Preferred_Skills,max_salary,sum_salary,cnt_salary,Average_Salary,is_present
2,andor_extensive_managerial_experience,194395.0,845801.0,5,169160.2,1
14,computer_skills_working_knowledge,178873.0,997478.0,6,166246.33333333334,2
17,design_construction_industry_standards,178873.0,997478.0,6,166246.33333333334,1
23,knowledge_design_construction_industry,178873.0,997478.0,6,166246.33333333334,3
24,knowledge_ms_office_software,178873.0,997478.0,6,166246.33333333334,2
31,related_nonrelated_tasks_proficiency,178873.0,997478.0,6,166246.33333333334,1
32,skills_experience_writing_reviewing,178873.0,997478.0,6,166246.33333333334,1
33,skills_working_knowledge_ms,178873.0,997478.0,6,166246.33333333334,2
49,experience_writing_reviewing_contract,178873.0,829045.0,5,165809.0,1
55,skills_towards_technical_nontechnical,194395.0,980234.0,6,163372.33333333334,1
56,towards_technical_nontechnical_audience,194395.0,980234.0,6,163372.33333333334,1
58,knowledge_city_state_federal,194395.0,929782.0,6,154963.66666666666,2
62,management_professional_pmp_certification,192152.0,720485.0,5,144097.0,1
63,project_management_professional_pmp,192152.0,720485.0,5,144097.0,1
68,working_knowledge_ms_office,178873.0,1125241.0,8,140655.125,2
75,knowledge_operations_design_construction,186555.0,1100881.0,8,137610.125,3
79,data_metrics_drive_decisions,217244.0,667785.0,5,133557.0,1
82,skills_experience_microsoft_office,217244.0,793905.0,6,132317.5,1
102,skills_project_management_experience,170000.0,738850.0,6,123141.66666666667,1
108,masters_degree_accredited_college,217244.0,1434839.2799999998,12,119569.93999999999,1
115,development_life_cycle_sdlc,150000.0,560323.0,5,112064.6,1
129,candidate_possess_following_experience,150000.0,866209.0,8,108276.125,1
136,competing_priorities_manage_experience,168433.0,744232.0,7,106318.85714285714,1
137,manage_experience_managing_highpriority,168433.0,744232.0,7,106318.85714285714,1
138,priorities_manage_experience_managing,168433.0,744232.0,7,106318.85714285714,1
139,knowledge_new_york_city,217244.0,2445286.0,23,106316.78260869565,2
141,experience_managing_highpriority_projects,168433.0,838993.0,8,104874.125,1
147,given_candidates_experience_working,168433.0,523555.0,5,104711.0,1
150,analyze_relevant_data_spreadsheets,125000.0,625130.0,6,104188.33333333333,1
151,collect_analyze_relevant_data,125000.0,625130.0,6,104188.33333333333,1
153,experience_presenting_solutions_project,114000.0,518647.0,5,103729.4,1
159,professional_engineer_pe_license,125000.0,511347.0,5,102269.4,1
163,knowledge_federal_state_local,137410.0,506914.0,5,101382.8,2
166,advanced_proficiency_microsoft_office,156793.0,799528.24,8,99941.03,2
167,knowledge_nyc_construction_codes,114000.0,599496.0,6,99916.0,3
168,new_york_state_professional,105000.0,498987.0,5,99797.4,1
169,york_state_professional_engineer,105000.0,498987.0,5,99797.4,1
179,understanding_project_management_principals,118610.0,498520.0,5,99704.0,1
199,experience_analyzing_building_energy,125000.0,490000.0,5,98000.0,1
216,firm_working_knowledge_microsoft,168433.0,974238.0,10,97423.8,2
220,applicable_iesnaashrae_design_codes,125000.0,580000.0,6,96666.66666666667,2
222,code_nyc_electrical_energy,125000.0,580000.0,6,96666.66666666667,1
223,codes_design_standards_specification,125000.0,580000.0,6,96666.66666666667,2
224,codes_familiarity_energy_usage,125000.0,580000.0,6,96666.66666666667,1
225,design_codes_design_standards,125000.0,580000.0,6,96666.66666666667,2
226,design_standards_specification_requirements,125000.0,580000.0,6,96666.66666666667,1
227,electric_code_nyc_electrical,125000.0,580000.0,6,96666.66666666667,1
228,electrical_energy_codes_familiarity,125000.0,580000.0,6,96666.66666666667,1
229,energy_codes_familiarity_energy,125000.0,580000.0,6,96666.66666666667,1
230,familiarity_national_electric_code,125000.0,580000.0,6,96666.66666666667,1
231,iesnaashrae_design_codes_design,125000.0,580000.0,6,96666.66666666667,2
233,knowledge_applicable_iesnaashrae_design,125000.0,580000.0,6,96666.66666666667,3
234,national_electric_code_nyc,125000.0,580000.0,6,96666.66666666667,1
241,strong_knowledge_applicable_iesnaashrae,125000.0,580000.0,6,96666.66666666667,2
248,preference_given_candidates_experience,168433.0,672901.0,7,96128.71428571429,1
249,knowledge_procurement_policy_board,144145.0,576750.24,6,96125.04,2
250,proficiency_following_computer_programs,156829.0,576388.0,6,96064.66666666667,1
251,knowledge_microsoft_project_word,168433.0,768474.0,8,96059.25,2
253,working_knowledge_microsoft_project,168433.0,768474.0,8,96059.25,2
